id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,avg_loan_amnt,loan_frequency
2925210,2024-02-12 19:22:46.652,-3,-1.0,-3,-1.0,-1.0
2925211,2024-02-12 19:24:29.135,4,-3.0,427,0.0,1.064868804664723
2925212,2024-02-12 19:24:41.493,-3,-1.0,-3,-1.0,-1.0
2925213,2024-02-12 19:24:29.135,4,-3.0,427,0.0,1.064868804664723
2925214,2024-02-12 19:24:56.857,-3,-1.0,-3,-1.0,-1.0
2925215,2024-02-12 19:25:10.176,4,-3.0,427,0.0,1.064868804664723
2925216,2024-02-12 19:25:10.176,4,-3.0,427,0.0,1.064868804664723
2925217,2024-02-12 19:39:43.431,-3,-1.0,-3,-1.0,-1.0
2925218,2024-02-12 19:40:15.507,11,-3.0,288,99995700.0,-3.0
2925219,2024-02-12 19:40:21.729,-3,-1.0,-3,-1.0,-1.0
2925220,2024-02-12 19:40:15.507,11,-3.0,288,99995700.0,-3.0
2925221,2024-02-12 19:40:33.233,-3,-1.0,-3,-1.0,-1.0
2925222,2024-02-12 19:40:43.421,11,-3.0,288,99995700.0,-3.0
2925223,2024-02-12 19:40:45.689,-3,-1.0,-3,-1.0,-1.0
2925224,2024-02-12 19:40:43.421,11,-3.0,288,99995700.0,-3.0
2925225,2024-02-12 19:40:59.168,-3,-1.0,-3,-1.0,-1.0
2925226,2024-02-12 19:42:17.995,-3,-1.0,-3,-1.0,-1.0
2925227,2024-02-12 19:42:18.189,11,-3.0,288,99995700.0,-3.0
2925228,2024-02-12 19:42:18.189,11,-3.0,288,99995700.0,-3.0
2925229,2024-02-12 19:42:41.931,-3,-1.0,-3,-1.0,-1.0
2925230,2024-02-13 03:24:50.390,-3,-1.0,-3,-1.0,-1.0
2925231,2024-02-13 03:25:23.976,2,2537851751.0,170,508530430.2,5.467814371257485
2925232,2024-02-13 03:25:23.976,2,2537851751.0,170,508530430.2,5.467814371257485
2925233,2024-02-13 03:40:58.283,-3,-1.0,-3,-1.0,-1.0
2925234,2024-02-13 03:41:40.303,3,-3.0,-3,-1.0,-1.0
2925235,2024-02-13 03:41:48.786,-3,-1.0,-3,-1.0,-1.0
2925236,2024-02-13 03:41:40.303,3,-3.0,-3,-1.0,-1.0
2925237,2024-02-13 03:41:59.906,-3,-1.0,-3,-1.0,-1.0
2925238,2024-02-13 03:42:10.012,3,-3.0,-3,-1.0,-1.0
2925239,2024-02-13 03:42:11.371,-3,-1.0,-3,-1.0,-1.0
2925240,2024-02-13 03:42:10.012,3,-3.0,-3,-1.0,-1.0
2925241,2024-02-13 03:42:24.408,-3,-1.0,-3,-1.0,-1.0
2925242,2024-02-13 03:50:40.478,-3,-1.0,-3,-1.0,-1.0
2925243,2024-02-13 03:51:23.602,3,559300000.0,158,115616666.66666667,1.835427135678392
2925244,2024-02-13 03:51:23.602,3,559300000.0,158,115616666.66666667,1.835427135678392
2925245,2024-02-13 03:55:10.577,-3,-1.0,-3,-1.0,-1.0
2925246,2024-02-13 03:55:31.382,3,-3.0,-3,-1.0,-1.0
2925247,2024-02-13 03:55:31.382,3,-3.0,-3,-1.0,-1.0
2925248,2024-02-13 03:55:54.423,-3,-1.0,-3,-1.0,-1.0
2925249,2024-02-13 04:03:40.348,-3,-1.0,-3,-1.0,-1.0
2925250,2024-02-13 04:04:11.928,7,2176827289.0,38,725609096.3333334,446.41666666666663
2925251,2024-02-13 04:04:27.339,-3,-1.0,-3,-1.0,-1.0
2925252,2024-02-13 04:04:11.928,7,2176827289.0,38,725609096.3333334,446.41666666666663
2925253,2024-02-13 04:04:41.142,-3,-1.0,-3,-1.0,-1.0
2925254,2024-02-13 04:05:02.726,7,2176827289.0,38,725609096.3333334,446.41666666666663
2925255,2024-02-13 04:05:07.754,-3,-1.0,-3,-1.0,-1.0
2925256,2024-02-13 04:05:02.726,7,2176827289.0,38,725609096.3333334,446.41666666666663
2925257,2024-02-13 04:05:50.098,-3,-1.0,-3,-1.0,-1.0
2925258,2024-02-13 04:05:56.254,-3,-1.0,-3,-1.0,-1.0
2925259,2024-02-13 04:05:50.098,-3,-1.0,-3,-1.0,-1.0
2925260,2024-02-13 04:06:07.770,-3,-1.0,-3,-1.0,-1.0
2925261,2024-02-13 04:06:17.769,-3,-1.0,-3,-1.0,-1.0
2925262,2024-02-13 04:06:17.769,-3,-1.0,-3,-1.0,-1.0
2925263,2024-02-13 04:08:36.805,-3,-1.0,-3,-1.0,-1.0
2925264,2024-02-13 04:09:08.616,-3,-1.0,-3,-1.0,-1.0
2925265,2024-02-13 04:09:14.808,-3,-1.0,-3,-1.0,-1.0
2925266,2024-02-13 04:09:08.616,-3,-1.0,-3,-1.0,-1.0
2925267,2024-02-13 04:09:25.624,-3,-1.0,-3,-1.0,-1.0
2925268,2024-02-13 04:09:38.451,-3,-1.0,-3,-1.0,-1.0
2925269,2024-02-13 04:09:40.335,-3,-1.0,-3,-1.0,-1.0
2925270,2024-02-13 04:09:38.451,-3,-1.0,-3,-1.0,-1.0
2925271,2024-02-13 04:10:32.458,-3,-1.0,-3,-1.0,-1.0
2925272,2024-02-13 04:10:32.739,-3,-1.0,-3,-1.0,-1.0
2925273,2024-02-13 04:10:32.739,-3,-1.0,-3,-1.0,-1.0
2925274,2024-02-13 04:10:44.133,-3,-1.0,-3,-1.0,-1.0
2925275,2024-02-13 04:10:58.153,-3,-1.0,-3,-1.0,-1.0
2925276,2024-02-13 04:11:15.752,-3,9905106700.0,69,1696305450.0,1.2711716937354989
2925277,2024-02-13 04:11:15.752,-3,9905106700.0,69,1696305450.0,1.2711716937354989
2925278,2024-02-13 04:12:16.089,-3,-1.0,-3,-1.0,-1.0
2925279,2024-02-13 04:12:47.725,2,1421662913.0,15,355415728.25,1.1753821399839097
2925280,2024-02-13 04:12:57.565,-3,-1.0,-3,-1.0,-1.0
2925281,2024-02-13 04:12:47.725,2,1421662913.0,15,355415728.25,1.1753821399839097
2925282,2024-02-13 04:13:12.467,-3,-1.0,-3,-1.0,-1.0
2925283,2024-02-13 04:13:25.785,2,1421662913.0,15,355415728.25,1.1753821399839097
2925284,2024-02-13 04:13:25.785,2,1421662913.0,15,355415728.25,1.1753821399839097
2925285,2024-02-13 04:16:00.661,-3,-1.0,-3,-1.0,-1.0
2925286,2024-02-13 04:16:32.527,-3,-1.0,-3,-1.0,-1.0
2925287,2024-02-13 04:16:47.122,-3,-1.0,-3,-1.0,-1.0
2925288,2024-02-13 04:16:32.527,-3,-1.0,-3,-1.0,-1.0
2925289,2024-02-13 04:17:24.444,-3,-1.0,-3,-1.0,-1.0
2925290,2024-02-13 04:17:26.002,-3,-1.0,-3,-1.0,-1.0
2925291,2024-02-13 04:17:28.722,-3,233087600.0,141,211568800.0,5.144366197183098
2925292,2024-02-13 04:17:29.724,-3,-1.0,-3,-1.0,-1.0
2925293,2024-02-13 04:17:28.722,-3,233087600.0,141,211568800.0,5.144366197183098
2925294,2024-02-13 04:17:40.880,-3,-1.0,-3,-1.0,-1.0
2925295,2024-02-13 04:17:53.246,-3,233087600.0,141,211568800.0,5.144366197183098
2925296,2024-02-13 04:17:56.735,-3,-1.0,-3,-1.0,-1.0
2925297,2024-02-13 04:17:56.931,-3,-1.0,-3,-1.0,-1.0
2925298,2024-02-13 04:17:57.561,1,300000000.0,19,42610588.23529412,4.175689307330195
2925299,2024-02-13 04:18:01.386,-3,-1.0,-3,-1.0,-1.0
2925300,2024-02-13 04:17:53.246,-3,233087600.0,141,211568800.0,5.144366197183098
2925301,2024-02-13 04:18:04.989,-3,-1.0,-3,-1.0,-1.0
2925302,2024-02-13 04:18:08.711,-3,-1.0,-3,-1.0,-1.0
2925303,2024-02-13 04:17:56.735,-3,-1.0,-3,-1.0,-1.0
2925304,2024-02-13 04:18:12.196,-3,-1.0,-3,-1.0,-1.0
2925305,2024-02-13 04:17:57.561,1,300000000.0,19,42610588.23529412,4.175689307330195
2925306,2024-02-13 04:18:18.516,-3,-1.0,-3,-1.0,-1.0
2925307,2024-02-13 04:18:23.176,-3,-1.0,-3,-1.0,-1.0
2925308,2024-02-13 04:18:24.316,-3,-1.0,-3,-1.0,-1.0
2925309,2024-02-13 04:18:23.176,-3,-1.0,-3,-1.0,-1.0
2925310,2024-02-13 04:18:36.233,-3,-1.0,-3,-1.0,-1.0
2925311,2024-02-13 04:18:38.398,2,-3.0,-3,-1.0,-1.0
2925312,2024-02-13 04:18:41.623,1,300000000.0,19,42610588.23529412,4.175689307330195
2925313,2024-02-13 04:18:42.069,-3,-1.0,-3,-1.0,-1.0
2925314,2024-02-13 04:18:38.398,2,-3.0,-3,-1.0,-1.0
2925315,2024-02-13 04:18:52.472,-3,-1.0,-3,-1.0,-1.0
2925316,2024-02-13 04:18:41.623,1,300000000.0,19,42610588.23529412,4.175689307330195
2925317,2024-02-13 04:19:00.761,-3,-1.0,-3,-1.0,-1.0
2925318,2024-02-13 04:19:07.049,-3,-1.0,-3,-1.0,-1.0
2925319,2024-02-13 04:19:14.616,2,-3.0,-3,-1.0,-1.0
2925320,2024-02-13 04:19:00.761,-3,-1.0,-3,-1.0,-1.0
2925321,2024-02-13 04:19:17.690,-3,-1.0,-3,-1.0,-1.0
2925322,2024-02-13 04:19:14.616,2,-3.0,-3,-1.0,-1.0
2925323,2024-02-13 04:19:38.945,-3,-1.0,-3,-1.0,-1.0
2925324,2024-02-13 04:19:38.945,-3,-1.0,-3,-1.0,-1.0
2925325,2024-02-13 04:19:51.665,-3,-1.0,-3,-1.0,-1.0
2925326,2024-02-13 04:20:24.691,-3,-3.0,-3,-1.0,-1.0
2925327,2024-02-13 04:20:28.238,-3,-1.0,-3,-1.0,-1.0
2925328,2024-02-13 04:20:33.125,-3,-1.0,-3,-1.0,-1.0
2925329,2024-02-13 04:20:24.691,-3,-3.0,-3,-1.0,-1.0
2925330,2024-02-13 04:20:39.235,-3,-1.0,-3,-1.0,-1.0
2925331,2024-02-13 04:20:50.741,-3,-3.0,-3,-1.0,-1.0
2925332,2024-02-13 04:20:50.741,-3,-3.0,-3,-1.0,-1.0
2925333,2024-02-13 04:21:14.833,1,-3.0,1730,0.0,-3.0
2925334,2024-02-13 04:21:27.925,-3,-1.0,-3,-1.0,-1.0
2925335,2024-02-13 04:21:14.833,1,-3.0,1730,0.0,-3.0
2925336,2024-02-13 04:21:35.335,-3,-1.0,-3,-1.0,-1.0
